Region,units_peak_month,units_trough_month,revenue_peak_month,revenue_trough_month,units_seasonality_cv,revenue_seasonality_cv,units_corr_gdp,units_corr_fuel,revenue_corr_gdp,revenue_corr_fuel
China,3,1,3,1,0.09933192678577343,0.09602193738016734,0.15943749966102422,0.41352100576134554,0.1667201789805413,0.40361254626486265
Europe,12,1,12,10,0.10052608117247228,0.1051881821819409,-0.14896029303166458,0.35960022738916014,-0.12366354087188212,0.3542583851503073
RestOfWorld,6,4,6,4,0.08714308617885322,0.09283796418954302,-0.09305070429432323,0.24847247728610475,-0.1149668855704382,0.28060378529800983
USA,6,8,6,8,0.08624991086268309,0.08828571065457674,-0.0816407290414692,0.5041852429020928,-0.08030601733142587,0.48411975924949535
